trial,lr,margin_loss_siamese,margin_loss_triplet,data_filter_pair,data_filter_triplet,lora_r
81,3e-05,0.6,0.6,0.5,0.25,32
82,3e-05,0.6,0.2,0.25,0.33,32
83,3e-05,0.4,0.6,0.5,0.5,32
84,3e-05,0.4,0.2,0.5,0.0,16
85,3e-05,0.6,0.6,0.25,0.33,16
86,3e-05,0.2,0.4,0.0,0.0,32
87,3e-05,0.2,0.2,0.33,0.33,32
88,3e-05,0.2,0.6,0.0,0.5,16
89,3e-05,0.2,0.4,0.5,0.33,16
90,3e-05,0.2,0.6,0.33,0.33,16
91,3e-05,0.4,0.4,0.5,0.5,32
92,3e-05,0.4,0.4,0.33,0.33,16
93,3e-05,0.4,0.4,0.25,0.25,16
94,3e-05,0.4,0.6,0.5,0.0,16
95,3e-05,0.4,0.6,0.0,0.0,32
96,3e-05,0.6,0.6,0.25,0.33,32
97,3e-05,0.6,0.4,0.0,0.5,32
98,3e-05,0.2,0.2,0.25,0.25,16
99,3e-05,0.2,0.6,0.25,0.0,16
100,3e-05,0.6,0.4,0.33,0.25,16
101,3e-05,0.2,0.2,0.0,0.5,32
102,3e-05,0.2,0.2,0.5,0.5,16
103,3e-05,0.4,0.4,0.33,0.5,32
104,3e-05,0.4,0.2,0.0,0.5,32
105,3e-05,0.2,0.4,0.25,0.5,16
106,3e-05,0.6,0.2,0.0,0.5,16
107,3e-05,0.4,0.6,0.5,0.5,16
108,3e-05,0.6,0.4,0.0,0.0,16
109,3e-05,0.6,0.2,0.0,0.33,16
110,3e-05,0.2,0.6,0.25,0.33,16
111,3e-05,0.4,0.4,0.0,0.25,32
112,3e-05,0.4,0.4,0.5,0.33,16
113,3e-05,0.4,0.2,0.0,0.25,32
114,3e-05,0.6,0.2,0.0,0.0,32
115,3e-05,0.6,0.2,0.5,0.5,16
116,3e-05,0.4,0.4,0.33,0.25,16
117,3e-05,0.6,0.6,0.0,0.0,16
118,3e-05,0.2,0.2,0.33,0.25,32
119,3e-05,0.6,0.2,0.5,0.25,32
120,3e-05,0.2,0.6,0.25,0.33,32
121,3e-05,0.4,0.6,0.0,0.5,16
122,3e-05,0.6,0.6,0.25,0.0,16
123,3e-05,0.4,0.2,0.25,0.25,32
124,3e-05,0.2,0.4,0.0,0.5,16
125,3e-05,0.4,0.6,0.33,0.0,32
126,3e-05,0.4,0.4,0.0,0.5,16
127,3e-05,0.2,0.2,0.5,0.25,32
128,3e-05,0.2,0.4,0.25,0.33,32
129,3e-05,0.4,0.4,0.0,0.0,16
130,3e-05,0.6,0.6,0.33,0.0,16
131,3e-05,0.2,0.2,0.0,0.0,16
132,3e-05,0.6,0.4,0.5,0.33,16
133,3e-05,0.4,0.4,0.33,0.5,16
134,3e-05,0.6,0.6,0.33,0.25,16
135,3e-05,0.6,0.4,0.25,0.5,16
136,3e-05,0.4,0.4,0.5,0.0,16
137,3e-05,0.2,0.6,0.33,0.5,32
138,3e-05,0.4,0.6,0.33,0.33,32
139,3e-05,0.6,0.2,0.25,0.33,16
140,3e-05,0.2,0.2,0.5,0.33,32
141,3e-05,0.2,0.2,0.0,0.25,16
142,3e-05,0.6,0.4,0.25,0.5,32
143,3e-05,0.2,0.6,0.0,0.0,16
144,3e-05,0.4,0.4,0.0,0.5,32
145,3e-05,0.6,0.6,0.33,0.0,32
146,3e-05,0.6,0.4,0.5,0.5,32
147,3e-05,0.4,0.2,0.0,0.25,16
148,3e-05,0.6,0.6,0.25,0.25,32
149,3e-05,0.4,0.2,0.25,0.33,16
150,3e-05,0.2,0.4,0.25,0.0,16
151,3e-05,0.2,0.4,0.0,0.5,32
152,3e-05,0.2,0.2,0.5,0.33,16
153,3e-05,0.6,0.6,0.5,0.5,16
154,3e-05,0.2,0.2,0.33,0.5,32
155,3e-05,0.4,0.2,0.5,0.5,16
156,3e-05,0.4,0.4,0.0,0.25,16
157,3e-05,0.4,0.6,0.25,0.0,16
158,3e-05,0.4,0.6,0.5,0.33,32
159,3e-05,0.6,0.4,0.25,0.0,16
160,3e-05,0.4,0.6,0.33,0.5,16
161,3e-05,0.6,0.2,0.0,0.0,16
162,3e-05,0.4,0.2,0.25,0.33,32
163,3e-05,0.4,0.4,0.33,0.33,32
164,3e-05,0.6,0.4,0.25,0.25,16
165,3e-05,0.6,0.4,0.33,0.33,16
166,3e-05,0.4,0.4,0.25,0.5,32
167,3e-05,0.2,0.4,0.5,0.5,32
168,3e-05,0.2,0.4,0.0,0.25,32
169,3e-05,0.6,0.4,0.5,0.0,32
170,3e-05,0.2,0.4,0.0,0.33,16
171,3e-05,0.6,0.4,0.33,0.33,32
172,3e-05,0.4,0.6,0.0,0.33,16
173,3e-05,0.6,0.6,0.25,0.5,16
174,3e-05,0.4,0.2,0.5,0.5,32
175,3e-05,0.4,0.6,0.0,0.5,32
176,3e-05,0.6,0.4,0.5,0.0,16
177,3e-05,0.4,0.6,0.33,0.5,32
178,3e-05,0.4,0.4,0.33,0.0,32
179,3e-05,0.2,0.4,0.33,0.5,16
180,3e-05,0.6,0.6,0.33,0.33,32
181,3e-05,0.6,0.2,0.25,0.5,32
182,3e-05,0.4,0.2,0.0,0.5,16
183,3e-05,0.2,0.6,0.33,0.0,16
184,3e-05,0.2,0.2,0.25,0.0,16
185,3e-05,0.6,0.4,0.0,0.0,32
186,3e-05,0.2,0.2,0.25,0.5,16
187,3e-05,0.2,0.6,0.33,0.25,32
188,3e-05,0.4,0.6,0.25,0.5,32
189,3e-05,0.2,0.4,0.5,0.0,16
190,3e-05,0.6,0.6,0.0,0.33,32
191,3e-05,0.4,0.6,0.33,0.0,16
192,3e-05,0.4,0.6,0.0,0.25,32
193,3e-05,0.2,0.6,0.0,0.33,32
194,3e-05,0.6,0.2,0.5,0.33,32
195,3e-05,0.4,0.2,0.33,0.5,16
196,3e-05,0.6,0.4,0.25,0.33,32
197,3e-05,0.2,0.4,0.5,0.5,16
198,3e-05,0.6,0.4,0.33,0.5,16
199,3e-05,0.4,0.4,0.25,0.0,16
200,3e-05,0.2,0.4,0.25,0.25,32
201,3e-05,0.6,0.2,0.33,0.5,32
202,3e-05,0.4,0.4,0.5,0.25,32
203,3e-05,0.2,0.2,0.33,0.25,16
204,3e-05,0.4,0.6,0.0,0.33,32
205,3e-05,0.6,0.6,0.0,0.5,16
206,3e-05,0.4,0.6,0.33,0.25,32
207,3e-05,0.2,0.6,0.0,0.33,16
208,3e-05,0.4,0.6,0.25,0.25,32
209,3e-05,0.2,0.4,0.33,0.33,32
210,3e-05,0.2,0.6,0.5,0.25,16
211,3e-05,0.2,0.6,0.5,0.5,16
212,3e-05,0.2,0.4,0.25,0.0,32
213,3e-05,0.2,0.6,0.5,0.33,32
214,3e-05,0.6,0.2,0.33,0.33,32
215,3e-05,0.4,0.6,0.0,0.25,16
216,3e-05,0.4,0.2,0.33,0.33,16
217,3e-05,0.6,0.6,0.5,0.25,16
218,3e-05,0.4,0.2,0.0,0.0,32
219,3e-05,0.2,0.2,0.5,0.0,32
220,3e-05,0.2,0.4,0.5,0.25,32
221,3e-05,0.6,0.2,0.5,0.25,16
222,3e-05,0.6,0.4,0.33,0.0,16
223,3e-05,0.2,0.6,0.25,0.25,16
224,3e-05,0.6,0.2,0.0,0.33,32
225,3e-05,0.2,0.4,0.5,0.25,16
226,3e-05,0.4,0.6,0.25,0.0,32
227,3e-05,0.6,0.4,0.33,0.5,32
228,3e-05,0.2,0.2,0.33,0.0,32
229,3e-05,0.4,0.6,0.33,0.33,16
230,3e-05,0.2,0.4,0.33,0.0,32
231,3e-05,0.4,0.4,0.33,0.25,32
232,3e-05,0.2,0.6,0.5,0.33,16
233,3e-05,0.6,0.2,0.5,0.33,16
234,3e-05,0.6,0.4,0.0,0.25,16
235,3e-05,0.4,0.4,0.5,0.5,16
236,3e-05,0.4,0.6,0.0,0.0,16
237,3e-05,0.6,0.2,0.33,0.33,16
238,3e-05,0.2,0.6,0.25,0.25,32
239,3e-05,0.4,0.4,0.25,0.33,32
240,3e-05,0.2,0.2,0.33,0.33,16
241,3e-05,0.4,0.2,0.0,0.0,16
242,3e-05,0.6,0.4,0.25,0.33,16
243,3e-05,0.2,0.2,0.5,0.5,32
244,3e-05,0.4,0.4,0.25,0.0,32
245,3e-05,0.4,0.2,0.33,0.33,32
246,3e-05,0.4,0.6,0.5,0.25,16
247,3e-05,0.2,0.2,0.25,0.25,32
248,3e-05,0.6,0.2,0.25,0.5,16
249,3e-05,0.2,0.6,0.0,0.25,32
250,3e-05,0.4,0.4,0.5,0.25,16
251,3e-05,0.2,0.6,0.5,0.0,16
252,3e-05,0.6,0.6,0.0,0.5,32
253,3e-05,0.2,0.6,0.5,0.25,32
254,3e-05,0.2,0.2,0.5,0.0,16
255,3e-05,0.6,0.2,0.0,0.25,16
256,3e-05,0.6,0.6,0.33,0.25,32
257,3e-05,0.6,0.6,0.5,0.0,32
258,3e-05,0.4,0.6,0.25,0.33,16
259,3e-05,0.4,0.2,0.25,0.5,16
260,3e-05,0.2,0.6,0.25,0.5,32
261,3e-05,0.6,0.6,0.25,0.25,16
262,3e-05,0.4,0.6,0.25,0.5,16
263,3e-05,0.6,0.6,0.33,0.5,16
264,3e-05,0.2,0.6,0.33,0.0,32
265,3e-05,0.2,0.2,0.0,0.25,32
266,3e-05,0.4,0.4,0.25,0.5,16
267,3e-05,0.6,0.4,0.0,0.33,32
268,3e-05,0.4,0.2,0.33,0.0,16
269,3e-05,0.6,0.2,0.33,0.5,16
270,3e-05,0.4,0.2,0.0,0.33,32
271,3e-05,0.2,0.2,0.25,0.33,32
272,3e-05,0.6,0.6,0.0,0.25,16
273,3e-05,0.4,0.2,0.33,0.5,32
274,3e-05,0.4,0.2,0.25,0.5,32
275,3e-05,0.2,0.4,0.25,0.5,32
276,3e-05,0.2,0.2,0.25,0.5,32
277,3e-05,0.2,0.2,0.33,0.0,16
278,3e-05,0.6,0.2,0.5,0.0,16
279,3e-05,0.2,0.4,0.25,0.33,16
280,3e-05,0.6,0.6,0.33,0.5,32
281,3e-05,0.2,0.4,0.33,0.33,16
282,3e-05,0.2,0.6,0.0,0.5,32
283,3e-05,0.4,0.2,0.33,0.25,16
284,3e-05,0.4,0.2,0.5,0.33,32
285,3e-05,0.4,0.4,0.25,0.33,16
286,3e-05,0.2,0.2,0.25,0.33,16
287,3e-05,0.2,0.4,0.5,0.0,32
